error,correct form,wrong-word error
ab,albert,True
an,any,True
antique-shops,antique shops,True
causes,clauses,True
cites,cities,True
electric,electrical,True
finish,finnish,True
french,france,True
i,a,True
i,it,True
i,my,True
it,i,True
japan,japanese,True
limes,lime's,True
lion,lyon,True
martin's,martins,True
mesdames,madams,True
middle-age,middle,True
must,most,True
new-guinea,new guinea,True
peek,peak,True
pol,pole,True
prime-minister,prime minister,True
sates,states,True
slaves,slavs,True
some,so,True
tames,thames,True
thus,this,True
town-hall,town hall,True
viking-museum,viking museum,True
war,wars,True
wen,we,True
wigs,whigs,True
x-champion,ex-champion,True
a,i,True
a,an,True
a,are,True
a,as,True
a,at,True
a,or,True
a,our,True
a,the,True
a,us,True
ab,obvious,True
abut,about,True
accept,accepted,True
accept,accepts,True
accordingly,according,True
acing,aching,True
acknowledgement,acknowledgment,True
acquire,aquire,True
acquired,require,True
acquired,required,True
act,acting,True
actions,action,True
actions,acts,True
activity,activities,True
acts,act,True
ad,about,True
add,addition,True
adding,added,True
additional,additionally,True
adhere,adheres,True
admire,admired,True
adolescence,adolescents,True
adoptive,adopted,True
adult,adults,True
adults,adults',True
advance,advice,True
advanced,advance,True
advantageous,advantages,True
advantages,adavntage,True
advertising,advertisement,True
advice,advise,True
advice,advised,True
advices,advice,True
advices,advises,True
advise,advice,True
advise,advised,True
advises,advice,True
aeries,areas,True
aero,arrow,True
aeroplanes,airplanes,True
affective,affected,True
after-all,after all,True
afternoon,afternoons,True
afterwords,afterwards,True
against,again,True
agents,agent,True
agree,agreed,True
aids,aid,True
ain't,don't have,True
air,aeroplane,True
air-flight,flight,True
air-hostess,air-hostesses,True
air-port,airport,True
airliner,airline,True
airplane,aeroplane,True
airplanes,aeroplanes,True
alb,able,True
alert,alerted,True
alike,like,True
aliveness,life,True
all,along,True
all,already,True
all,alright,True
all,also,True
allover,all over,True
allowed,allow,True
alone,along,True
along,a long,True
aloud,allowed,True
alumnae,alumni,True
alumni,alumnae,True
always,away,True
am,was,True
ammunitions,ammunition,True
an,a,True
